Rank,Player,GmSc,Date,Tm
1.,Michael Jordan*,64.6,1990-03-28,CHI
2.,Kobe Bryant*,63.5,2006-01-22,LAL
3.,Donovan Mitchell,60.8,2023-01-02,CLE
4.,Karl Malone*,60.2,1990-01-27,UTA
5.,Damian Lillard,57.6,2023-02-26,POR
6.,James Harden,56.6,2018-01-30,HOU
7.,Luka Dončić,56.3,2022-12-27,DAL
8.,Michael Jordan*,54.7,1988-04-03,CHI
9.,Devin Booker,54.5,2017-03-24,PHO
10.,Joel Embiid,54.4,2022-11-13,PHI
11.,Kevin McHale*,54.3,1985-03-03,BOS
12.,Damian Lillard,54.0,2023-01-25,POR
13.,Anthony Davis,53.9,2016-02-21,NOP
14.,Kyrie Irving,53.8,2022-03-15,BRK
15.,LeBron James,53.2,2017-11-03,CLE
16.,James Harden,52.4,2019-11-30,HOU
17.,James Harden,52.2,2019-02-28,HOU
18.,David Robinson*,51.8,1994-04-24,SAS
19.,Trae Young,51.6,2022-01-03,ATL
,Dominique Wilkins*,51.6,1986-12-10,ATL
21.,Jimmy Butler,51.5,2017-01-02,CHI
22.,Michael Jordan*,51.2,1989-11-03,CHI
,Michael Jordan*,51.2,1987-02-26,CHI
24.,Kobe Bryant*,50.9,2007-03-16,LAL
25.,Joel Embiid,50.8,2021-02-19,PHI
26.,Carmelo Anthony,50.6,2014-01-24,NYK
27.,Damian Lillard,50.5,2020-08-11,POR
28.,Giannis Antetokounmpo,50.4,2019-03-17,MIL
,Reggie Miller*,50.4,1992-11-28,IND
30.,Fred VanVleet,50.3,2021-02-02,TOR
31.,Amar'e Stoudemire,50.2,2008-11-05,PHO
32.,Anthony Davis,50.1,2018-02-26,NOP
33.,Tom Chambers,50.0,1990-03-24,PHO
34.,James Harden,49.8,2020-07-31,HOU
35.,Kobe Bryant*,49.7,2005-12-20,LAL
,Michael Jordan*,49.7,1987-04-12,CHI
37.,Damian Lillard,49.6,2020-01-26,POR
,Willie Burton,49.6,1994-12-13,PHI
,Charles Barkley*,49.6,1988-11-30,PHI
40.,Anthony Davis,49.5,2022-12-04,LAL
,Shaquille O'Neal*,49.5,2000-03-06,LAL
42.,James Harden,49.2,2017-11-05,HOU
,Stephen Curry,49.2,2015-10-31,GSW
44.,Dwyane Wade,49.0,2009-03-09,MIA
45.,LeBron James,48.8,2014-03-03,MIA
46.,Nikola Jokić,48.7,2022-03-06,DEN
,James Harden,48.7,2016-12-31,HOU
,Shaquille O'Neal*,48.7,1994-04-20,ORL
49.,Stephen Curry,48.6,2021-11-08,GSW
,Damian Lillard,48.6,2017-04-08,POR
,Michael Jordan*,48.6,1992-12-23,CHI
52.,Pascal Siakam,48.5,2022-12-21,TOR
,Anthony Davis,48.5,2019-12-08,LAL
,James Harden,48.5,2019-01-23,HOU
,Allen Iverson*,48.5,2005-02-12,PHI
56.,Damian Lillard,48.4,2020-01-20,POR
57.,Joel Embiid,48.2,2023-04-04,PHI
,Nikola Jokić,48.2,2022-01-19,DEN
,Kyrie Irving,48.2,2015-03-12,CLE
60.,Dirk Nowitzki,48.0,2004-12-02,DAL
,David Robinson*,48.0,1993-01-16,SAS
62.,Jayson Tatum,47.9,2021-04-30,BOS
,Joel Embiid,47.9,2017-11-15,PHI
,Damian Lillard,47.9,2016-02-19,POR
,Michael Jordan*,47.9,1989-01-21,CHI
66.,Gilbert Arenas,47.8,2006-12-17,WAS
,Michael Jordan*,47.8,1987-04-16,CHI
68.,Michael Jordan*,47.7,1996-03-07,CHI
69.,Michael Jordan*,47.6,1987-03-04,CHI
70.,Luka Dončić,47.5,2022-12-31,DAL
,Chris Paul,47.5,2015-04-01,LAC
,Dwyane Wade,47.5,2009-02-28,MIA
73.,Nikola Jokić,47.4,2021-02-06,DEN
,Dominique Wilkins*,47.4,1987-01-12,ATL
75.,Kobe Bryant*,47.3,2009-02-02,LAL
76.,James Harden,46.9,2017-01-27,HOU
,Michael Jordan*,46.9,1988-03-18,CHI
78.,Stephen Curry,46.8,2021-01-03,GSW
,Damian Lillard,46.8,2019-11-08,POR
,James Harden,46.8,2019-10-30,HOU
,Karl Malone*,46.8,1989-12-22,UTA
82.,LeBron James,46.7,2011-02-03,MIA
,Hakeem Olajuwon*,46.7,1996-03-23,HOU
,Michael Jordan*,46.7,1989-01-15,CHI
85.,Giannis Antetokounmpo,46.6,2022-02-08,MIL
,Manu Ginóbili*,46.6,2008-02-13,SAS
,David Robinson*,46.6,1991-01-10,SAS
,Dominique Wilkins*,46.6,1990-12-29,ATL
89.,Karl-Anthony Towns,46.5,2022-03-14,MIN
,Michael Jordan*,46.5,1988-11-16,CHI
,Purvis Short,46.5,1984-11-17,GSW
92.,Kobe Bryant*,46.3,2002-01-14,LAL
93.,Nikola Jokić,46.2,2023-02-26,DEN
,James Harden,46.2,2019-12-13,HOU
,Klay Thompson,46.2,2016-12-05,GSW
,Karl Malone*,46.2,1998-04-07,UTA
97.,Stephen Curry,46.1,2013-02-27,GSW
,Deron Williams,46.1,2012-03-04,NJN
99.,James Harden,46.0,2019-03-22,HOU
,Karl-Anthony Towns,46.0,2018-03-28,MIN
,Shareef Abdur-Rahim,46.0,2001-11-23,ATL
,Antawn Jamison,46.0,2000-12-06,GSW
,Michael Jordan*,46.0,1987-03-24,CHI
